label,cell_line,treatment,dose,replicate,duration,expriment
HD1,HT115,DMSO,Control,1,48,HT115
HD2,HT115,DMSO,Control,2,48,HT115
HM81,HT115,M60,M60-low,1,48,HT115
HM82,HT115,M60,M60-low,2,48,HT115
HM41,HT115,M60,M60-medium,1,48,HT115
HM42,HT115,M60,M60-medium,2,48,HT115
H24M21,HT115,M60,M60-high-24,1,24,HT115
H24M22,HT115,M60,M60-high-24,2,24,HT115
HM21,HT115,M60,M60-high,1,48,HT115
HM22,HT115,M60,M60-high,2,48,HT115
LD1,LS180,DMSO,Control,1,48,LS180
LD2,LS180,DMSO,Control,2,48,LS180
LM81,LS180,M60,M60-low,1,48,LS180
LM82,LS180,M60,M60-low,2,48,LS180
LM41,LS180,M60,M60-medium,1,48,LS180
LM42,LS180,M60,M60-medium,2,48,LS180
L24M21,LS180,M60,M60-high-24,1,24,LS180
L24M22,LS180,M60,M60-high-24,2,24,LS180
LM21,LS180,M60,M60-high,1,48,LS180
LM22,LS180,M60,M60-high,2,48,LS180
LDSN1,LS180,DMSO,Control,1,48,LS180-two
LDSN2,LS180,DMSO,Control,2,48,LS180-two
LDSP1,LS180,DMSO,SOX9-OE,1,48,LS180-two
LDSP2,LS180,DMSO,SOX9-OE,2,48,LS180-two
LMSN1,LS180,M60,Control,1,48,LS180-two
LMSN2,LS180,M60,Control,2,48,LS180-two
LMSP1,LS180,M60,SOX9-OE,1,48,LS180-two
LMSP2,LS180,M60,SOX9-OE,2,48,LS180-two
LSSN1,LS180,SMARCA2/4 degrader,Control,1,48,LS180-two
LSSN2,LS180,SMARCA2/4 degrader,Control,2,48,LS180-two
LSSP1,LS180,SMARCA2/4 degrader,SOX9-OE,1,48,LS180-two
LSSP2,LS180,SMARCA2/4 degrader,SOX9-OE,2,48,LS180-two